YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2020,ALABAMA,AUTAUGA,01,000,81855.35,0.95958,0.95801,42.58,7900.52,0.87773,0.91149,574.92,16646.54,0.82485,1.00433,108,8898.5,1.02651,1.01859,3150.17
2020,ALABAMA,BALDWIN,01,010,75425.33,1.01336,0.97671,126.08,8332.11,0.93328,0.90932,2012.83,18301.38,0.98519,1.01047,560.75,9260.11,1.0032,1.00088,19521.33
2020,ALABAMA,BARBOUR,01,020,80255.12,0.9683,1.01983,56.5,9020.69,0.90238,0.97787,412.67,16968.25,0.93576,1.04238,249.42,8539.63,0.99887,1.05448,1671.58
2020,ALABAMA,BIBB,01,030,79931.41,0.97521,1.03089,27,9297.74,0.93881,0.9281,404.17,17233.89,0.97253,1.0249,174,9172.03,1.08782,1.07087,1010.67
2020,ALABAMA,BLOUNT,01,040,76711.24,1.01821,0.99553,26.75,8325.18,0.90255,0.90508,601,14225.1,0.871,1.01221,227.92,10027.78,1.06557,1.04251,3142.67
2020,ALABAMA,BULLOCK,01,050,70106.91,1.05856,1.05904,18.83,6189.92,0.71894,1.01976,134.33,13633.63,0.83631,1.05487,98.75,7012.02,0.95501,1.03752,336.08
2020,ALABAMA,BUTLER,01,060,92606.64,0.96202,0.99546,41.25,9872.42,0.84604,1.01616,473.33,13297.52,0.84619,1.04287,292.08,8694.11,1.06782,1.10164,1435.67
2020,ALABAMA,CALHOUN,01,070,76744.29,0.97021,0.99285,145.75,8860.61,0.909,0.96852,2496,15364.23,0.93891,1.01764,794,9732.96,1.09121,1.04478,9674.33
2020,ALABAMA,CHAMBERS,01,080,70366.42,0.94306,0.99788,63.08,8112.6,0.88739,0.96237,814.08,13262.58,0.93355,1.03618,414.42,8779.88,1.07148,1.12496,2350.75
2020,ALABAMA,CHEROKEE,01,090,70800.81,0.93881,0.98891,47.67,9322.02,0.84273,0.97941,658.25,15933.81,0.9268,1.02097,276,10183.51,1.07174,1.04776,2299.5
2020,ALABAMA,CHILTON,01,100,74130.71,1.04729,0.94746,28.33,10594.23,0.99977,0.91132,470.42,13341.26,0.87939,0.98527,146.25,10424.96,1.03996,1.02206,2130.17
2020,ALABAMA,CHOCTAW,01,110,74313.75,0.97076,1.00363,27.83,8846.44,0.7657,1.00406,514.33,13481.06,0.85251,1.01174,297.58,8936.45,1.03255,1.13949,1321.75
2020,ALABAMA,CLARKE,01,120,60531.25,0.99258,0.94804,39.92,8165.4,0.82963,0.94181,465.17,14043.11,0.85326,1.01496,193.92,10064.7,1.01204,1.09255,1542.67
2020,ALABAMA,CLAY,01,130,69900.61,1.01308,1.07314,16.08,9301.26,0.81886,0.94542,308.17,14490.56,0.89581,1.04747,189.42,8377.45,0.96964,1.08155,1165.83
2020,ALABAMA,CLEBURNE,01,140,92751.19,1.03893,1.01032,19.58,8084.12,0.85568,0.95741,339.5,18074.38,0.94049,1.04544,183.67,8830.06,1.03431,1.06828,1350.42
2020,ALABAMA,COFFEE,01,150,69909.73,0.98048,1.0102,47.67,9058.83,0.95095,0.95873,798.58,15685.41,0.93838,1.04992,426.08,8900,1.06714,1.03751,4408.83
2020,ALABAMA,COLBERT,01,160,62801.85,0.97141,1.0281,60.58,9830.08,0.94771,0.98337,1217.25,16798.64,0.91282,1.01911,488.83,9010.59,1.03075,1.08127,5546.58
2020,ALABAMA,CONECUH,01,170,78195.29,0.93454,1.01603,30.5,7298.36,0.7721,0.9807,470,13046.25,0.84212,1.02305,259,9193.38,0.99703,1.12608,1002.25
2020,ALABAMA,COOSA,01,180,99321.65,0.9363,0.99213,15.92,7048.71,0.82864,0.94171,238,10390.43,0.78962,1.03847,65.83,9889.31,1.08579,1.09571,780.25
2020,ALABAMA,COVINGTON,01,190,92077.19,1.11854,1.04359,51.25,11091.57,0.98973,1.00773,961,16096.96,0.99162,1.03353,665.5,9331.32,1.11274,1.09686,3648.25
