YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2021,ALABAMA,ELMORE,01,250,77658.57,0.9516,0.97067,53.75,8648.33,0.8346,0.90617,805.08,18157.65,0.98286,1.04463,195.17,9544.19,1.01874,1.00381,5153.75
2021,ALABAMA,ESCAMBIA,01,260,72404.17,0.89698,1.04671,34.83,10258.49,0.87405,0.956,544.25,16757,0.9403,1.05088,259,10823.96,1.08156,1.09112,2373.83
2021,ALABAMA,ETOWAH,01,270,81472.14,1.00581,1.02247,83.92,9796.58,0.90971,0.98042,1901.33,16747.98,0.99273,1.01734,766.83,11494.72,1.10188,1.08114,6094.75
2021,ALABAMA,FAYETTE,01,280,75689.91,0.9614,0.97292,10.08,7920.6,0.88457,0.98492,407,17196.6,1.03228,1.04403,225.25,9163.02,1.11109,1.10859,1254.83
2021,ALABAMA,FRANKLIN,01,290,75833.27,1.06698,1.05745,20.83,10321.14,0.90376,1.00822,586.33,14249.78,0.85552,1.03398,354.83,10405.08,1.02952,1.09926,2293.58
2021,ALABAMA,GENEVA,01,300,80092.79,1.00894,0.98455,13.08,7836.7,0.87359,0.9625,473.42,14763.19,0.97457,1.0486,274.08,9847.99,1.03369,1.07527,2149.42
2021,ALABAMA,GREENE,01,310,92012.94,1.07,1.03417,20.25,7163.19,0.85024,1.00946,229.92,14944.16,0.90109,1.02043,163.92,9879.95,1.00724,1.11844,388.33
2021,ALABAMA,HALE,01,320,98299.87,1.02708,1.06629,24.42,8878.57,0.90355,1.00993,483.75,16161.59,0.89148,1.0345,285.92,9735.67,1.04105,1.10458,845.08
2021,ALABAMA,HENRY,01,330,88153.77,0.98837,0.98796,15.58,11534.44,0.83751,0.90544,226.83,15511.73,0.94607,1.03815,144.33,10259.08,1.04447,1.05298,1272.58
2021,ALABAMA,HOUSTON,01,340,82793.09,1.0125,0.99934,86.83,10048.61,0.91673,0.94445,1337.08,15309.18,0.91073,1.03696,596.25,10445.98,1.0346,1.06403,7297.33
2021,ALABAMA,JACKSON,01,350,80507.32,1.03047,1.00305,33.75,9895.5,0.9581,0.9674,941.5,15277.59,0.86086,1.02182,454.75,9635.28,1.00662,1.05752,4814.67
2021,ALABAMA,JEFFERSON,01,360,79022.86,0.96489,0.9625,532.58,10850.26,0.98384,0.93773,4894.67,18416.26,0.97338,1.00151,1567.67,10666.07,1.04718,1.02069,26642.33
2021,ALABAMA,LAMAR,01,370,76660.93,0.99097,1.05689,19.92,10416.98,0.8986,0.97085,395.58,15840.43,0.83348,1.04752,200.58,9050.09,1.05095,1.11798,1483.83
2021,ALABAMA,LAUDERDALE,01,380,62259.25,0.9877,1.02774,55.25,9997.27,0.93584,0.9753,1270.5,13973.37,0.94647,1.03262,597.08,8894.55,0.9936,1.05526,8492.75
2021,ALABAMA,LAWRENCE,01,390,72356.19,0.91156,0.98645,29.33,9305.6,0.93288,0.93777,539.33,13575.17,0.93772,1.03035,263.25,9911.93,1.06092,1.06838,2472.25
2021,ALABAMA,LEE,01,400,65609.3,0.96698,0.98125,101.58,8235.74,0.89457,0.91431,1608,12009.02,0.89052,1.04142,523.67,8791.74,1.01959,1.02416,7575.08
2021,ALABAMA,LIMESTONE,01,410,74843.51,1.00432,0.96729,64.08,10691.54,0.93852,0.9348,974.83,13344.34,0.92891,1.01532,389.25,10138.77,1.01287,1.01514,6848.58
2021,ALABAMA,LOWNDES,01,420,67583.34,0.85677,1.02236,16.5,11007.03,0.78564,0.95613,119.83,9996.7,0.8235,1.01096,70.67,8863.91,1.05233,1.0258,406.75
2021,ALABAMA,MACON,01,430,69078.85,0.98861,1.00944,33.5,10222.7,0.83344,0.93614,202.08,13395.34,0.89729,1.02052,102.5,7929.06,1.01004,1.04474,881.67
2021,ALABAMA,MADISON,01,440,76629.75,0.9556,0.98881,284.58,10575.37,0.93743,0.93818,3009,17239.06,0.91882,1.01683,1060.42,9789.54,1.00445,1.01712,28183.92
2021,ALABAMA,MARENGO,01,450,81042.75,0.99018,0.99983,35.67,8323.71,0.77452,0.98341,534.08,15063.68,0.93478,1.04081,287.92,10163.39,1.06799,1.09177,1383.25
2021,ALABAMA,MARION,01,460,81680.75,0.98376,1.07282,22.25,10333.37,0.90519,0.98553,776.17,15082.6,0.89294,1.04174,495,9563.64,1.04189,1.09682,2979.83
2021,ALABAMA,MARSHALL,01,470,63433.35,0.9928,1.0307,76,8937.73,0.93466,0.97883,1377,14825.65,0.88412,1.00852,747.58,9633.53,1.05313,1.07447,7057.33
2021,ALABAMA,MOBILE,01,480,73500.45,0.94649,0.96155,329.08,9581.63,0.92656,0.93654,3514.33,16599.89,0.9674,1.00345,1148.58,10444.46,1.07232,1.02748,16320.5
2021,ALABAMA,MONROE,01,490,75456.54,0.92161,1.03304,26.42,7919.89,0.73662,0.92365,341,17838.45,0.90635,1.05187,192.33,9218.45,0.97178,1.1013,1180.67
2021,ALABAMA,MONTGOMERY,01,500,72352.67,0.9391,0.97046,233.83,9118.44,0.8657,0.92528,1895.5,13523.04,0.89366,1.0151,628.58,9090.19,1.01081,1.02718,10314.83
2021,ALABAMA,MORGAN,01,510,68235.77,0.97265,0.99713,86.83,9703.97,0.93188,0.95947,1543.42,14664.48,0.90399,1.01681,713.92,9639.71,1.05202,1.04114,9443.25
2021,ALABAMA,PERRY,01,520,69383.39,0.9695,1.08163,17.5,8022.28,0.83722,1.00853,207.42,11655.61,0.90498,1.07531,180,9341.92,1.16103,1.15792,366.83
2021,ALABAMA,PICKENS,01,530,59768.98,0.93405,1.01779,34.33,8975.77,0.8773,0.98553,505,13296.27,0.9171,1.03091,264.33,11505.08,1.11637,1.10683,1404.75
2021,ALABAMA,PIKE,01,540,54926.52,0.9547,0.9668,34.25,9108.34,0.84596,0.96126,362.75,15792.83,0.89372,1.07167,222.83,9456.93,0.98749,1.06098,1472.17
2021,ALABAMA,RANDOLPH,01,550,115282.85,0.94791,0.98214,17.08,9165.19,0.93184,0.94869,456.75,13878.95,0.88566,1.02572,237.92,9678.01,0.94843,1.04719,1857.92
2021,ALABAMA,RUSSELL,01,560,67191,0.91431,0.93127,82.42,8757.31,0.80056,0.89863,787.5,15349.69,0.94883,1.01539,290.92,9227.58,1.10696,1.05865,3267.17
2021,ALABAMA,"ST. CLAIR",01,570,61977.51,0.91819,0.97856,49.33,10694.46,0.96936,0.90127,835,18478.07,1.05498,0.99913,186.75,10565.15,1.13349,1.01472,5130.83
2021,ALABAMA,SHELBY,01,580,77722.55,0.96898,0.97613,72.83,10392.78,0.98755,0.88311,1128.5,19118.32,1.0002,1.0167,272.17,11050.56,1.03246,0.98834,11329.92
2021,ALABAMA,SUMTER,01,590,76310.47,0.96561,1.05101,19.75,9413.27,0.86911,1.00926,336.75,12609.13,0.83368,1.01124,211.75,8682.67,0.9241,1.08161,642.25
2021,ALABAMA,TALLADEGA,01,600,82105.5,0.96399,0.99218,79.58,8738.58,0.95137,0.94757,1179.75,16797.88,0.9159,1.04635,385.17,10743.06,1.11628,1.09066,4503.42
