YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2019,ALABAMA,AUTAUGA,01,000,68139.57,0.97499,0.94522,55.83,8669.62,0.90708,0.90186,677.5,15987.22,0.91725,1.03051,142.25,9658.88,1.05071,1.01971,3304.75
2019,ALABAMA,BALDWIN,01,010,72106.93,0.94232,0.95611,129.33,9320.82,0.92313,0.91295,2229.83,18078.86,0.97765,1.00974,629.58,9821.18,1.0038,0.99978,19702.5
2019,ALABAMA,BARBOUR,01,020,65057.44,0.93182,1.02664,61.33,10066.73,0.93341,0.9795,539.5,15375.66,0.83119,1.03322,338.75,9770,0.97709,1.05313,1789
2019,ALABAMA,BIBB,01,030,89173.36,1.00101,1.03392,27.67,9759.51,0.92057,0.93641,460.75,15047.3,0.95523,1.02681,196.67,10118.44,1.09536,1.06368,1047
2019,ALABAMA,BLOUNT,01,040,75799.15,0.91586,0.98773,33.25,8915.61,0.85755,0.91763,746.42,16553.58,0.87734,1.00898,248,10871.51,1.04967,1.03175,3291.17
2019,ALABAMA,BULLOCK,01,050,63098.78,0.9343,1.06157,19,5236.16,0.88906,0.99517,163.33,12932.48,0.8243,1.05617,114.92,10006.21,1.0325,1.04396,393.58
2019,ALABAMA,BUTLER,01,060,68383.94,0.96773,1.00269,53.33,9820.82,0.89022,1.03232,565.17,15049.11,0.85215,1.04758,336.5,10034.81,1.07546,1.09284,1472.67
2019,ALABAMA,CALHOUN,01,070,81660.63,0.9893,0.99459,156.17,9314.92,0.91346,0.98075,3130.25,15379.11,0.90969,1.0137,1029,10402.22,1.07072,1.04922,10346.33
2019,ALABAMA,CHAMBERS,01,080,80889.49,0.93958,1.03292,70.5,7718.35,0.88391,0.96187,1060.25,13247.62,0.9486,1.03983,536.5,8809.4,1.07419,1.11958,2683.33
2019,ALABAMA,CHEROKEE,01,090,71554.16,0.98077,0.97016,46,9514.51,0.91304,0.9787,768.83,16513.52,0.90149,1.00298,323.33,10682.19,1.06189,1.05147,2400.92
2019,ALABAMA,CHILTON,01,100,87071.59,0.89848,0.94725,29.83,11955.76,0.9608,0.93197,534.58,14153.33,0.89085,0.96472,170.5,11203.82,1.0181,1.01627,2170.17
2019,ALABAMA,CHOCTAW,01,110,88498.76,0.92183,1.02327,35.33,8476.72,0.78734,0.99519,655.75,13286.87,0.8003,1.0089,361.17,10426.27,0.99448,1.14044,1432.33
2019,ALABAMA,CLARKE,01,120,69292.84,0.96301,1.0184,42.25,8168,0.79009,0.94202,575.92,15683.69,0.83607,1.01986,262.08,10084.66,1.00664,1.08285,1702.75
2019,ALABAMA,CLAY,01,130,72622.71,0.97235,0.99563,15.17,8240.37,0.80074,0.9483,381,14675.11,0.89295,1.043,218.08,8717.63,0.98491,1.08103,1230.58
2019,ALABAMA,CLEBURNE,01,140,104854.09,0.95331,0.97475,15,9213.06,0.91822,0.95925,418.92,20884.43,0.88262,1.03885,209.08,9764.36,1.01762,1.06412,1434.75
2019,ALABAMA,COFFEE,01,150,69152.86,0.99728,1.02345,53.58,9182.14,0.93958,0.96124,953.33,13917.84,0.91585,1.04265,503.33,9906.25,1.04547,1.03379,4628.67
