YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2022,ALABAMA,AUTAUGA,01,000,77928.37,0.98766,0.97995,32,8484.05,0.88451,0.89273,465.5,15689.96,1.00754,1.00985,97.08,10310.53,1.03108,1.03871,2932.17
2022,ALABAMA,BALDWIN,01,010,79367.15,0.93382,0.98043,109.42,9851.62,0.90094,0.90512,1545,20758.03,1.0104,1.01095,462.5,10988.88,0.99252,1.00507,18755.17
2022,ALABAMA,BARBOUR,01,020,77787.71,0.89875,1.01417,29.17,10761.41,0.97529,0.97802,273,19444.67,0.84646,1.04619,166.83,10411.33,0.98647,1.04846,1367.42
2022,ALABAMA,BIBB,01,030,79077.19,0.97637,1.01118,17.83,9240.38,0.89591,0.92081,252,14418.12,1.00047,1.04839,133.25,10043.15,1.07848,1.08154,883.08
2022,ALABAMA,BLOUNT,01,040,66257.2,0.96728,1.03344,19,10365.79,0.92892,0.89756,458.92,19367.57,0.98558,1.04615,177.67,11274.25,1.06793,1.05024,2744.58
2022,ALABAMA,BULLOCK,01,050,93880.76,1.14033,1.02883,12.42,6864.24,0.74194,0.97325,74.25,21724.06,0.94289,1.10274,86.25,10073.09,0.97831,1.03932,266.5
2022,ALABAMA,BUTLER,01,060,75160.43,0.87081,0.99982,26.17,8799.13,0.90184,0.99369,237.92,15047.44,0.86179,1.06449,158.5,11128.83,1.11002,1.10768,1109.92
2022,ALABAMA,CALHOUN,01,070,80429.03,0.98411,0.99136,92.17,9484.48,0.87926,0.95473,1652.83,16107.91,1.00752,1.03395,538.08,11156.92,1.11482,1.05617,8400.17
2022,ALABAMA,CHAMBERS,01,080,68182.22,0.93849,1.00939,44.92,7771.54,0.92379,0.95473,574.67,13988.39,0.92134,1.05274,295.5,10183.83,1.08872,1.12347,1929.92
2022,ALABAMA,CHEROKEE,01,090,73256.44,1.06929,0.99938,25.25,10599.63,0.91202,0.97689,473,15220.14,0.90791,1.00689,255,10603.59,1.07222,1.05207,2132.83
2022,ALABAMA,CHILTON,01,100,71523.52,0.97241,0.99242,18.58,11639.36,0.92402,0.90313,325.42,18193.65,0.91975,0.96585,124.17,11420.07,1.03952,1.03213,1756.08
2022,ALABAMA,CHOCTAW,01,110,93190.77,0.91323,1.04236,20.25,9635.18,0.7902,0.96538,314.42,17035.64,0.95548,1.02805,189.08,11977.74,1.00941,1.14732,1099.5
2022,ALABAMA,CLARKE,01,120,81838.74,0.92333,1.01355,14.5,7911.03,0.88578,0.92402,325.58,14570.24,0.79799,1.02932,133.42,10310.49,1.03991,1.09737,1301.25
2022,ALABAMA,CLAY,01,130,*,*,*,*,8229.22,0.79187,0.90459,186.42,14569.33,0.91407,1.07349,125.08,8972.29,0.97052,1.10238,926.83
2022,ALABAMA,CLEBURNE,01,140,*,*,*,*,12455.53,0.87556,0.95871,234,15866.58,0.97118,1.04701,134.92,10994,1.02798,1.06248,1179.33
2022,ALABAMA,COFFEE,01,150,80582.52,0.98215,1.0149,31.58,9892.03,0.93112,0.92686,597.08,14708.61,0.96681,1.0718,277.75,9684.14,1.05303,1.0348,3983.17
2022,ALABAMA,COLBERT,01,160,68879.54,0.89339,1.02466,36.17,10706.26,0.94011,0.9687,738.5,18676.35,0.94362,1.03322,354.5,10217.62,1.00599,1.06014,4435.67
2022,ALABAMA,CONECUH,01,170,80474.7,0.97044,1.0737,7.67,8983.26,0.74041,0.97698,275.67,20788.32,0.81026,1.04326,160.5,11673.97,0.98406,1.13033,854.83
2022,ALABAMA,COOSA,01,180,*,*,*,*,7450.49,0.6936,0.94587,131.42,12301.17,0.89948,1.04092,44,11607.8,1.08147,1.07681,650.5
2022,ALABAMA,COVINGTON,01,190,75624.98,1.09392,1.04551,30.08,11487.46,1.0005,0.98129,574.08,17889.11,0.92136,1.04291,425.17,10966.16,1.07125,1.09307,3130.67
2022,ALABAMA,CRENSHAW,01,200,57346.54,0.87314,1.0173,11.42,12227.3,0.8119,0.97771,144.25,13480.35,0.98712,1.04335,111.25,9443.74,1.02342,1.10688,721.92
2022,ALABAMA,CULLMAN,01,210,76842.33,0.9679,0.99983,49.42,11715.71,0.99621,0.93933,859.08,18928.15,0.94854,1.03054,535.92,10839.1,1.10904,1.06206,6083.25
2022,ALABAMA,DALE,01,220,70418.76,0.98436,0.97652,27.83,9603.35,0.94092,0.95442,615.83,18860.44,0.93946,1.04935,252.67,11547.91,1.09036,1.05576,3338.83
2022,ALABAMA,DALLAS,01,230,72073.57,0.93372,1.01475,55,9472.07,0.85996,1.02933,489.5,18679.41,1.01784,1.03333,404.25,8852.9,0.9962,1.0842,1439.58
2022,ALABAMA,DEKALB,01,240,66327.28,0.87032,1.00439,39.92,8649.24,0.88119,0.97508,1054,12984.41,0.88224,1.03644,570.25,10105.74,0.98953,1.0703,4700.17
2022,ALABAMA,ELMORE,01,250,65912.97,1.00241,0.97487,49.92,8926.47,0.8692,0.91487,716.17,19226.42,0.95593,1.04082,182.75,9912,0.9874,1.0087,5007.17
2022,ALABAMA,ESCAMBIA,01,260,73812.39,0.97741,1.03585,31,9342.42,0.85185,0.95321,450.83,20262.96,0.91328,1.0483,240.75,11142.25,1.04482,1.09226,2240.75
2022,ALABAMA,ETOWAH,01,270,79561.34,0.98985,1.02419,76.08,10004.96,0.92714,0.97251,1565.42,17089.19,0.94978,1.02645,647.33,11722.94,1.07955,1.08296,5692.25
2022,ALABAMA,FAYETTE,01,280,86437.9,1.04286,0.99096,10.83,9249.15,0.84279,0.96563,341.25,16404.11,0.98252,1.05024,202.92,10287.74,1.0798,1.10921,1170.67
2022,ALABAMA,FRANKLIN,01,290,67691.29,0.98719,1.02584,17.83,11553.02,0.94117,1.01399,452.75,16705.75,0.85998,1.04497,310.17,11355.97,1.02796,1.0923,2084.67
2022,ALABAMA,GENEVA,01,300,77811.16,0.85228,0.98808,12.83,9485.5,0.82225,0.95661,384.25,18395.77,0.93293,1.07073,240.83,10829.6,1.02346,1.08268,1951.67
2022,ALABAMA,GREENE,01,310,79661.95,0.87032,1.05946,17.42,9121.81,0.77735,0.9894,160.08,11051.95,0.86425,1.01143,124.67,8188.24,0.96689,1.06385,326.17
2022,ALABAMA,HALE,01,320,61380.21,1.0706,1.06003,20.83,9553.62,0.86907,0.9995,367,17575.45,0.95297,1.0547,225.08,9647.93,1.00484,1.0883,765.83
2022,ALABAMA,HENRY,01,330,100904.59,0.98322,0.98142,12.42,11692.06,0.79902,0.923,184.25,14681.99,0.94675,1.04258,128.08,11085.68,1.0214,1.04822,1183.75
2022,ALABAMA,HOUSTON,01,340,67663.59,0.97425,0.99719,66.42,10921.18,0.9019,0.93788,1087.75,19373.91,1.01439,1.04141,524.42,11200.33,1.02294,1.06695,6778.58
2022,ALABAMA,JACKSON,01,350,71478.07,0.94328,1.01196,26,10770.13,0.99403,0.95962,743.33,15828.12,0.88734,1.01972,392.5,9709.24,1.01203,1.05871,4555
2022,ALABAMA,JEFFERSON,01,360,76309.11,0.96994,0.96368,417.5,11016.02,0.99522,0.93527,4071.75,20197.14,1.01347,1.0084,1454.58,11191.31,1.06664,1.02638,25258.58
2022,ALABAMA,LAMAR,01,370,72567.2,0.96448,1.05179,11.33,8376.86,0.83592,0.99204,335.75,14674.93,0.93622,1.05222,176.67,10451.77,1.03813,1.11093,1421.17
2022,ALABAMA,LAUDERDALE,01,380,63634.11,0.99928,1.01847,56.33,9864.62,0.91115,0.96199,1023.58,15128.84,0.91569,1.04078,536.33,9429.37,0.98615,1.04475,7799.5
2022,ALABAMA,LAWRENCE,01,390,67578.61,1.04099,0.98706,19.58,9926.05,0.96004,0.9349,467.5,15363.41,0.9345,1.05499,229.75,10219.36,1.06676,1.07567,2336.5
2022,ALABAMA,LEE,01,400,66629.9,0.98271,0.9925,85.92,8994.52,0.92018,0.91407,1440.75,16858.55,0.92488,1.04656,454.5,9803.79,1.01339,1.02152,7418.5
2022,ALABAMA,LIMESTONE,01,410,75193.57,0.90627,0.95285,50.75,9613.03,0.93635,0.91915,864.17,16325.28,0.8911,1.01885,337.42,10865,1.00168,1.01638,6839.58
2022,ALABAMA,LOWNDES,01,420,60227.08,0.87921,0.97115,14.42,9812.59,0.77144,0.95109,89.67,12191.83,0.86472,1.01623,58,10624.74,0.96409,1.03427,374.58
